,IC,IC_IR,IC>0%
fear_index,0.0061,0.0543,55.74
greed_index,-0.0004,-0.0044,48.44
attention_factor,0.0077,0.064,62.3
momentum_sentiment,-0.0026,-0.0181,44.83
reversal_sentiment,0.0011,0.0082,46.88
volatility_sentiment,0.0065,0.0335,49.21
vp_divergence,-0.0009,-0.009,50.0
info_asymmetry,-0.0159,-0.1307,40.98
liquidity_sentiment,-0.0576,-0.5135,25.4
composite_sentiment,-0.0181,-0.1238,44.83
llm_sentiment_score,0.0066,0.0549,55.74
event_driven,0.0,0.0006,51.56
sentiment_consensus,0.0016,0.0165,51.79
