feature,importance
min_ret_20d,400.40781754255295
mom_120d,264.84088486135005
vol_60d,220.09752915203572
bb_width,216.89229681491852
max_ret_20d,216.54741577208043
skew_20d,168.9252300709486
kurt_20d,165.26905032396317
macd_signal,152.82779884934425
mom_60d,149.4923025161028
macd_hist,148.3700674533844
vol_20d,135.14718238711356
macd,127.27593183517456
vol_5d,108.88020879626274
vol_change_20d,104.16945665478707
bb_pos,94.35957745909691
vol_10d,88.88395445048809
vol_ratio_20d,81.3461526453495
mom_vol_interaction,68.38898114860058
mom_20d,64.87303338646889
price_pos_60d,61.831742548942564
mom_10d,58.44558943510056
mom_5d,54.165118956565856
vol_price_interaction,42.03927451074124
price_pos_20d,39.13351002931595
rsi_14,38.21933652758598
vol_ratio_5d,31.53214872479439
vol_change_5d,15.544980651140213
